,normalized_Un_MCF7 T_0A,normalized_Un_MCF7 T_3A,normalized_Un_MCF7 T_6A,normalized_Un_MCF7 T_9A,normalized_Un_MCF7 T_12A,normalized_Un_MCF7 T_24A,normalized_Un_MCF7 T_0B,normalized_Un_MCF7 T_3B,normalized_Un_MCF7 T_6B,normalized_Un_MCF7 T_9B,normalized_Un_MCF7 T_12B,normalized_Un_MCF7 T_24B,normalized_Un_MCF7 T_0C,normalized_Un_MCF7 T_3C,normalized_Un_MCF7 T_6C,normalized_Un_MCF7 T_9C,normalized_Un_MCF7 T_12C,normalized_Un_MCF7 T_24C
RNF207,0.8622169107724196,0.5307936091209406,0.5144254111807283,0.4950570211579141,0.6157938953204601,0.9662040423186007,0.9041200577422991,0.6075213835604618,0.4632937720172247,0.4890854811255919,0.5790686321702045,0.8339930277615286,1.0,0.6445127108210967,0.3426978872529341,0.5441215489716851,0.6279038976428222,0.6858177082724862
ICMT-DT,0.6248197492301958,1.0,0.7688955331261393,0.9086112518190711,0.5894120916596098,0.7056813999340155,0.6823234212900122,0.7661405025132957,0.7548944266277561,0.7374417581103583,0.6366360151244124,0.5654363982538965,0.6562273559121807,0.7621219445803208,0.9395947842163106,0.8415562889336207,0.8307315015714571,0.5302181619413774
GPR153,1.0,0.5604218735934817,0.821242645582538,0.6969206827047827,0.7329793442595175,0.6664891123503607,0.9953812725560002,0.5869316999335477,0.727724256681712,0.7464266061269443,0.7176447831532774,0.6299837875103613,0.763411274589257,0.6997114824763607,0.8406078878802982,0.693975371958914,0.5968463434809065,0.520392829075788
ACOT7,0.6171348541672371,0.7683299168368465,0.8971327252113589,1.0,0.7808372572076571,0.5738005447882687,0.8135313148694141,0.7645961061669736,0.9244360026250101,0.7677431245311623,0.9500600757658891,0.5490956314361194,0.7998262402853432,0.9174120122504407,0.8970504961589827,0.7364968646915171,0.8499006385898286,0.4960156907014776
ESPN,0.8539060376180729,0.9095158598680083,0.7635309262476689,0.9905761941413174,0.9817230903892574,0.9225553466016784,0.9136375161333703,1.0,0.7292004931432235,0.7967227320132061,0.9366858445146223,0.888562401079687,0.903314382653229,0.9427073585482036,0.6832258041691814,0.8900904276360696,0.7978708777517984,0.847804656693947
ENSG00000231868,0.9180229690570946,0.7680328558840266,0.6082292347669703,0.7009177091377342,0.645950742732753,0.7618301642886406,1.0,0.8264170742035591,0.6292192358633649,0.5967738255828766,0.6740535624735877,0.6535230151311271,0.8584251575207194,0.7886189000266918,0.7762809636149192,0.6452796189833773,0.6594580168949224,0.5902099427984187
PLEKHG5,0.9838545006104584,0.5711820640070675,0.4650300655452676,0.6572879031548696,0.5522853637611612,0.7789011936246801,1.0,0.7749753483941425,0.5379799906942624,0.7757484251549831,0.8819691350226017,0.6760597633506575,0.956932962482113,0.8497297588649416,0.6021712370462234,0.7366594258940349,0.9108088184163474,0.6053560926758627
NOL9,0.8516389588043936,0.6362146083515887,0.9769804578591097,0.9830311072028537,0.6949617446055715,0.6518070402789832,1.0,0.7726952640085436,0.8351291469192599,0.5929906508076939,0.6870285886493044,0.7784799514634513,0.884242455491267,0.9565993936094046,0.7746618793103353,0.8205325721290165,0.6266090743240286,0.6941113092711961
ZBTB48,0.7941872847229303,0.7729321784075921,0.9612428533650842,0.9667955410984594,0.8454308583778216,0.8865087522895087,0.8612554948319064,0.8113408378203993,0.8674541169755451,0.8336285431381546,0.8524956624148732,0.9274492518141042,0.7561261879943156,0.6579453560725271,0.8885209007047694,1.0,0.8639725083121268,0.8377946479486067
KLHL21,0.7798217077524427,0.8503653471079765,0.9588373419805275,0.7247003007768962,0.8953196019252136,0.7500191955280001,0.7289335046687933,0.9012775537272548,0.8625450736862619,0.8174266980534165,0.7781092858870137,0.5896265302461551,0.9386022878511582,0.7943056139359853,1.0,0.8134043740295088,0.8015439534187653,0.8698360587308512
